chr	arm	band	ISCN.top	ISCN.bot	bases.top	bases.bot	stain	cM.top	cM.bot	n.markers	p.markers
9	q	22.2	-	-	89201002	91201002	gpos	-	-	-	-
9	q	22.31	-	-	91201002	93901002	gneg	-	-	-	-
9	q	22.32	-	-	93901002	96501002	gpos	-	-	-	-
9	q	22.33	-	-	96501002	99801002	gneg	-	-	-	-
9	q	31.1	-	-	99801002	105401002	gpos	-	-	-	-
9	q	31.2	-	-	105401002	108501002	gneg	-	-	-	-
9	q	31.3	-	-	108501002	112101002	gpos	-	-	-	-
9	q	32	-	-	112101002	114901002	gneg	-	-	-	-
9	q	33.1	-	-	114901002	119801002	gpos	-	-	-	-
9	q	33.2	-	-	119801002	123101002	gneg	-	-	-	-
9	q	33.3	-	-	123101002	127501002	gpos	-	-	-	-
9	q	34.11	-	-	127501002	130601002	gneg	-	-	-	-
9	q	34.12	-	-	130601002	131101002	gpos	-	-	-	-
9	q	34.13	-	-	131101002	133101002	gneg	-	-	-	-
9	q	34.2	-	-	133101002	134501002	gpos	-	-	-	-
9	q	34.3	-	-	134501002	138395719	gneg	-	-	-	-
10	p	15.3	-	-	1002	3001002	gneg	-	-	-	-
10	p	15.2	-	-	3001002	3801002	gpos	-	-	-	-
10	p	15.1	-	-	3801002	6601002	gneg	-	-	-	-
10	p	14	-	-	6601002	12201002	gpos	-	-	-	-
10	p	13	-	-	12201002	17301002	gneg	-	-	-	-
10	p	12.33	-	-	17301002	18301002	gpos	-	-	-	-
10	p	12.32	-	-	18301002	18401002	gneg	-	-	-	-
10	p	12.31	-	-	18401002	22301002	gpos	-	-	-	-
10	p	12.2	-	-	22301002	24301002	gneg	-	-	-	-
10	p	12.1	-	-	24301002	29301002	gpos	-	-	-	-
10	p	11.23	-	-	29301002	31101002	gneg	-	-	-	-
10	p	11.22	-	-	31101002	34201002	gpos	-	-	-	-
10	p	11.21	-	-	34201002	38001002	gneg	-	-	-	-
10	p	11.1	-	-	38001002	39801002	acen	-	-	-	-
10	q	11.1	-	-	39801002	41601002	acen	-	-	-	-
10	q	11.21	-	-	41601002	45501002	gneg	-	-	-	-
10	q	11.22	-	-	45501002	48601002	gpos	-	-	-	-
10	q	11.23	-	-	48601002	51101002	gneg	-	-	-	-
10	q	21.1	-	-	51101002	59401002	gpos	-	-	-	-
10	q	21.2	-	-	59401002	62801002	gneg	-	-	-	-
10	q	21.3	-	-	62801002	68801002	gpos	-	-	-	-
10	q	22.1	-	-	68801002	73101002	gneg	-	-	-	-
10	q	22.2	-	-	73101002	75901002	gpos	-	-	-	-
10	q	22.3	-	-	75901002	80301002	gneg	-	-	-	-
10	q	23.1	-	-	80301002	86101002	gpos	-	-	-	-
10	q	23.2	-	-	86101002	87701002	gneg	-	-	-	-
10	q	23.31	-	-	87701002	91101002	gpos	-	-	-	-
10	q	23.32	-	-	91101002	92301002	gneg	-	-	-	-
10	q	23.33	-	-	92301002	95301002	gpos	-	-	-	-
10	q	24.1	-	-	95301002	97501002	gneg	-	-	-	-
10	q	24.2	-	-	97501002	100101002	gpos	-	-	-	-
10	q	24.31	-	-	100101002	101201002	gneg	-	-	-	-
10	q	24.32	-	-	101201002	103101002	gpos	-	-	-	-
10	q	24.33	-	-	103101002	104001002	gneg	-	-	-	-
10	q	25.1	-	-	104001002	110101002	gpos	-	-	-	-
10	q	25.2	-	-	110101002	113101002	gneg	-	-	-	-
10	q	25.3	-	-	113101002	117301002	gpos	-	-	-	-
10	q	26.11	-	-	117301002	119901002	gneg	-	-	-	-
10	q	26.12	-	-	119901002	121401002	gpos	-	-	-	-
10	q	26.13	-	-	121401002	125701002	gneg	-	-	-	-
10	q	26.2	-	-	125701002	128801002	gpos	-	-	-	-
10	q	26.3	-	-	128801002	133798424	gneg	-	-	-	-
11	p	15.5	-	-	1002	2801002	gneg	-	-	-	-
11	p	15.4	-	-	2801002	11701002	gpos	-	-	-	-
11	p	15.3	-	-	11701002	13801002	gneg	-	-	-	-
11	p	15.2	-	-	13801002	16901002	gpos	-	-	-	-
11	p	15.1	-	-	16901002	22001002	gneg	-	-	-	-
11	p	14.3	-	-	22001002	26201002	gpos	-	-	-	-
11	p	14.2	-	-	26201002	27201002	gneg	-	-	-	-
11	p	14.1	-	-	27201002	31001002	gpos	-	-	-	-
11	p	13	-	-	31001002	36401002	gneg	-	-	-	-
11	p	12	-	-	36401002	43401002	gpos	-	-	-	-
11	p	11.2	-	-	43401002	48801002	gneg	-	-	-	-
11	p	11.12	-	-	48801002	51001002	gpos	-	-	-	-
11	p	11.11	-	-	51001002	53401002	acen	-	-	-	-
11	q	11	-	-	53401002	55801002	acen	-	-	-	-
11	q	12.1	-	-	55801002	60101002	gpos	-	-	-	-
11	q	12.2	-	-	60101002	61901002	gneg	-	-	-	-
11	q	12.3	-	-	61901002	63601002	gpos	-	-	-	-
11	q	13.1	-	-	63601002	66101002	gneg	-	-	-	-
11	q	13.2	-	-	66101002	68701002	gpos	-	-	-	-
11	q	13.3	-	-	68701002	70501002	gneg	-	-	-	-
11	q	13.4	-	-	70501002	75501002	gpos	-	-	-	-
11	q	13.5	-	-	75501002	77401002	gneg	-	-	-	-
11	q	14.1	-	-	77401002	85901002	gpos	-	-	-	-
11	q	14.2	-	-	85901002	88601002	gneg	-	-	-	-
11	q	14.3	-	-	88601002	93001002	gpos	-	-	-	-
11	q	21	-	-	93001002	97401002	gneg	-	-	-	-
11	q	22.1	-	-	97401002	102301002	gpos	-	-	-	-
11	q	22.2	-	-	102301002	103001002	gneg	-	-	-	-
11	q	22.3	-	-	103001002	110601002	gpos	-	-	-	-
11	q	23.1	-	-	110601002	112701002	gneg	-	-	-	-
11	q	23.2	-	-	112701002	114601002	gpos	-	-	-	-
11	q	23.3	-	-	114601002	121301002	gneg	-	-	-	-
11	q	24.1	-	-	121301002	124001002	gpos	-	-	-	-
11	q	24.2	-	-	124001002	127901002	gneg	-	-	-	-
11	q	24.3	-	-	127901002	130901002	gpos	-	-	-	-
11	q	25	-	-	130901002	135087624	gneg	-	-	-	-
12	p	13.33	-	-	1002	3201002	gneg	-	-	-	-
12	p	13.32	-	-	3201002	5301002	gpos	-	-	-	-
12	p	13.31	-	-	5301002	10001002	gneg	-	-	-	-
12	p	13.2	-	-	10001002	12601002	gpos	-	-	-	-
12	p	13.1	-	-	12601002	14601002	gneg	-	-	-	-
12	p	12.3	-	-	14601002	19801002	gpos	-	-	-	-
12	p	12.2	-	-	19801002	21101002	gneg	-	-	-	-
12	p	12.1	-	-	21101002	26301002	gpos	-	-	-	-
12	p	11.23	-	-	26301002	27601002	gneg	-	-	-	-
12	p	11.22	-	-	27601002	30501002	gpos	-	-	-	-
12	p	11.21	-	-	30501002	33201002	gneg	-	-	-	-
12	p	11.1	-	-	33201002	35501002	acen	-	-	-	-
12	q	11	-	-	35501002	37801002	acen	-	-	-	-
12	q	12	-	-	37801002	46001002	gpos	-	-	-	-
12	q	13.11	-	-	46001002	48701002	gneg	-	-	-	-
12	q	13.12	-	-	48701002	51101002	gpos	-	-	-	-
12	q	13.13	-	-	51101002	54501002	gneg	-	-	-	-
12	q	13.2	-	-	54501002	56201002	gpos	-	-	-	-
12	q	13.3	-	-	56201002	57701002	gneg	-	-	-	-
12	q	14.1	-	-	57701002	62701002	gpos	-	-	-	-
12	q	14.2	-	-	62701002	64701002	gneg	-	-	-	-
12	q	14.3	-	-	64701002	67301002	gpos	-	-	-	-
12	q	15	-	-	67301002	71101002	gneg	-	-	-	-
12	q	21.1	-	-	71101002	75301002	gpos	-	-	-	-
12	q	21.2	-	-	75301002	79901002	gneg	-	-	-	-
12	q	21.31	-	-	79901002	86301002	gpos	-	-	-	-
12	q	21.32	-	-	86301002	88601002	gneg	-	-	-	-
12	q	21.33	-	-	88601002	92201002	gpos	-	-	-	-
12	q	22	-	-	92201002	95801002	gneg	-	-	-	-
12	q	23.1	-	-	95801002	101201002	gpos	-	-	-	-
12	q	23.2	-	-	101201002	103501002	gneg	-	-	-	-
12	q	23.3	-	-	103501002	108601002	gpos	-	-	-	-
12	q	24.11	-	-	108601002	111301002	gneg	-	-	-	-
12	q	24.12	-	-	111301002	111901002	gpos	-	-	-	-
12	q	24.13	-	-	111901002	113901002	gneg	-	-	-	-
12	q	24.21	-	-	113901002	116401002	gpos	-	-	-	-
12	q	24.22	-	-	116401002	117701002	gneg	-	-	-	-
12	q	24.23	-	-	117701002	120301002	gpos	-	-	-	-
12	q	24.31	-	-	120301002	125401002	gneg	-	-	-	-
12	q	24.32	-	-	125401002	128701002	gpos	-	-	-	-
12	q	24.33	-	-	128701002	133276311	gneg	-	-	-	-
13	p	13	-	-	1002	4601002	gvar	-	-	-	-
13	p	12	-	-	4601002	10101002	stalk	-	-	-	-
13	p	11.2	-	-	10101002	16501002	gvar	-	-	-	-
13	p	11.1	-	-	16501002	17701002	acen	-	-	-	-
13	q	11	-	-	17701002	18901002	acen	-	-	-	-
13	q	12.11	-	-	18901002	22601002	gneg	-	-	-	-
13	q	12.12	-	-	22601002	24901002	gpos	-	-	-	-
13	q	12.13	-	-	24901002	27201002	gneg	-	-	-	-
13	q	12.2	-	-	27201002	28301002	gpos	-	-	-	-
13	q	12.3	-	-	28301002	31601002	gneg	-	-	-	-
13	q	13.1	-	-	31601002	33401002	gpos	-	-	-	-
13	q	13.2	-	-	33401002	34901002	gneg	-	-	-	-
13	q	13.3	-	-	34901002	39501002	gpos	-	-	-	-
13	q	14.11	-	-	39501002	44601002	gneg	-	-	-	-
13	q	14.12	-	-	44601002	45201002	gpos	-	-	-	-
13	q	14.13	-	-	45201002	46701002	gneg	-	-	-	-
13	q	14.2	-	-	46701002	50301002	gpos	-	-	-	-
13	q	14.3	-	-	50301002	54701002	gneg	-	-	-	-
13	q	21.1	-	-	54701002	59001002	gpos	-	-	-	-
13	q	21.2	-	-	59001002	61801002	gneg	-	-	-	-
13	q	21.31	-	-	61801002	65201002	gpos	-	-	-	-
13	q	21.32	-	-	65201002	68101002	gneg	-	-	-	-
13	q	21.33	-	-	68101002	72801002	gpos	-	-	-	-
13	q	22.1	-	-	72801002	74901002	gneg	-	-	-	-
13	q	22.2	-	-	74901002	76701002	gpos	-	-	-	-
13	q	22.3	-	-	76701002	78501002	gneg	-	-	-	-
13	q	31.1	-	-	78501002	87101002	gpos	-	-	-	-
13	q	31.2	-	-	87101002	89401002	gneg	-	-	-	-
13	q	31.3	-	-	89401002	94401002	gpos	-	-	-	-
13	q	32.1	-	-	94401002	97501002	gneg	-	-	-	-
13	q	32.2	-	-	97501002	98701002	gpos	-	-	-	-
13	q	32.3	-	-	98701002	101101002	gneg	-	-	-	-
13	q	33.1	-	-	101101002	104201002	gpos	-	-	-	-
13	q	33.2	-	-	104201002	106401002	gneg	-	-	-	-
13	q	33.3	-	-	106401002	109601002	gpos	-	-	-	-
13	q	34	-	-	109601002	114365330	gneg	-	-	-	-
14	p	13	-	-	1002	3601002	gvar	-	-	-	-
14	p	12	-	-	3601002	8001002	stalk	-	-	-	-
14	p	11.2	-	-	8001002	16101002	gvar	-	-	-	-
14	p	11.1	-	-	16101002	17201002	acen	-	-	-	-
14	q	11.1	-	-	17201002	18201002	acen	-	-	-	-
14	q	11.2	-	-	18201002	24101002	gneg	-	-	-	-
14	q	12	-	-	24101002	32901002	gpos	-	-	-	-
14	q	13.1	-	-	32901002	34801002	gneg	-	-	-	-
14	q	13.2	-	-	34801002	36101002	gpos	-	-	-	-
14	q	13.3	-	-	36101002	37401002	gneg	-	-	-	-
14	q	21.1	-	-	37401002	43001002	gpos	-	-	-	-
14	q	21.2	-	-	43001002	46701002	gneg	-	-	-	-
14	q	21.3	-	-	46701002	50401002	gpos	-	-	-	-
14	q	22.1	-	-	50401002	53601002	gneg	-	-	-	-
14	q	22.2	-	-	53601002	55001002	gpos	-	-	-	-
14	q	22.3	-	-	55001002	57601002	gneg	-	-	-	-
14	q	23.1	-	-	57601002	61601002	gpos	-	-	-	-
14	q	23.2	-	-	61601002	64301002	gneg	-	-	-	-
14	q	23.3	-	-	64301002	67401002	gpos	-	-	-	-
14	q	24.1	-	-	67401002	69801002	gneg	-	-	-	-
14	q	24.2	-	-	69801002	73301002	gpos	-	-	-	-
14	q	24.3	-	-	73301002	78801002	gneg	-	-	-	-
14	q	31.1	-	-	78801002	83101002	gpos	-	-	-	-
14	q	31.2	-	-	83101002	84401002	gneg	-	-	-	-
14	q	31.3	-	-	84401002	89301002	gpos	-	-	-	-
14	q	32.11	-	-	89301002	91401002	gneg	-	-	-	-
14	q	32.12	-	-	91401002	94201002	gpos	-	-	-	-
14	q	32.13	-	-	94201002	95801002	gneg	-	-	-	-
14	q	32.2	-	-	95801002	100901002	gpos	-	-	-	-
14	q	32.31	-	-	100901002	102701002	gneg	-	-	-	-
14	q	32.32	-	-	102701002	103501002	gpos	-	-	-	-
14	q	32.33	-	-	103501002	107044720	gneg	-	-	-	-
15	p	13	-	-	1002	4201002	gvar	-	-	-	-
15	p	12	-	-	4201002	9701002	stalk	-	-	-	-
15	p	11.2	-	-	9701002	17501002	gvar	-	-	-	-
15	p	11.1	-	-	17501002	19001002	acen	-	-	-	-
15	q	11.1	-	-	19001002	20501002	acen	-	-	-	-
15	q	11.2	-	-	20501002	25501002	gneg	-	-	-	-
15	q	12	-	-	25501002	27801002	gpos	-	-	-	-
15	q	13.1	-	-	27801002	30001002	gneg	-	-	-	-
15	q	13.2	-	-	30001002	30901002	gpos	-	-	-	-
15	q	13.3	-	-	30901002	33401002	gneg	-	-	-	-
15	q	14	-	-	33401002	39801002	gpos	-	-	-	-
15	q	15.1	-	-	39801002	42501002	gneg	-	-	-	-
15	q	15.2	-	-	42501002	43301002	gpos	-	-	-	-
15	q	15.3	-	-	43301002	44501002	gneg	-	-	-	-
15	q	21.1	-	-	44501002	49201002	gpos	-	-	-	-
15	q	21.2	-	-	49201002	52601002	gneg	-	-	-	-
15	q	21.3	-	-	52601002	58801002	gpos	-	-	-	-
15	q	22.1	-	-	58801002	59001002	gneg	-	-	-	-
15	q	22.2	-	-	59001002	63401002	gpos	-	-	-	-
15	q	22.31	-	-	63401002	66901002	gneg	-	-	-	-
15	q	22.32	-	-	66901002	67001002	gpos	-	-	-	-
15	q	22.33	-	-	67001002	67201002	gneg	-	-	-	-
15	q	23	-	-	67201002	72401002	gpos	-	-	-	-
15	q	24.1	-	-	72401002	74901002	gneg	-	-	-	-
15	q	24.2	-	-	74901002	76301002	gpos	-	-	-	-
15	q	24.3	-	-	76301002	78001002	gneg	-	-	-	-
15	q	25.1	-	-	78001002	81401002	gpos	-	-	-	-
15	q	25.2	-	-	81401002	84701002	gneg	-	-	-	-
15	q	25.3	-	-	84701002	88501002	gpos	-	-	-	-
15	q	26.1	-	-	88501002	93801002	gneg	-	-	-	-
15	q	26.2	-	-	93801002	98001002	gpos	-	-	-	-
15	q	26.3	-	-	98001002	101992191	gneg	-	-	-	-
16	p	13.3	-	-	1002	7801002	gneg	-	-	-	-
16	p	13.2	-	-	7801002	10401002	gpos	-	-	-	-
16	p	13.13	-	-	10401002	12501002	gneg	-	-	-	-
16	p	13.12	-	-	12501002	14701002	gpos	-	-	-	-
16	p	13.11	-	-	14701002	16701002	gneg	-	-	-	-
16	p	12.3	-	-	16701002	21201002	gpos	-	-	-	-
16	p	12.2	-	-	21201002	24201002	gneg	-	-	-	-
16	p	12.1	-	-	24201002	28501002	gpos	-	-	-	-
16	p	11.2	-	-	28501002	35301002	gneg	-	-	-	-
16	p	11.1	-	-	35301002	36801002	acen	-	-	-	-
16	q	11.1	-	-	36801002	38401002	acen	-	-	-	-
16	q	11.2	-	-	38401002	47001002	gvar	-	-	-	-
16	q	12.1	-	-	47001002	52601002	gneg	-	-	-	-
16	q	12.2	-	-	52601002	56001002	gpos	-	-	-	-
16	q	13	-	-	56001002	57301002	gneg	-	-	-	-
16	q	21	-	-	57301002	66601002	gpos	-	-	-	-
16	q	22.1	-	-	66601002	70801002	gneg	-	-	-	-
16	q	22.2	-	-	70801002	72801002	gpos	-	-	-	-
16	q	22.3	-	-	72801002	74101002	gneg	-	-	-	-
16	q	23.1	-	-	74101002	79201002	gpos	-	-	-	-
16	q	23.2	-	-	79201002	81601002	gneg	-	-	-	-
16	q	23.3	-	-	81601002	84101002	gpos	-	-	-	-
16	q	24.1	-	-	84101002	87001002	gneg	-	-	-	-
16	q	24.2	-	-	87001002	88701002	gpos	-	-	-	-
16	q	24.3	-	-	88701002	90339347	gneg	-	-	-	-
17	p	13.3	-	-	1002	3401002	gneg	-	-	-	-
17	p	13.2	-	-	3401002	6501002	gpos	-	-	-	-
17	p	13.1	-	-	6501002	10801002	gneg	-	-	-	-
17	p	12	-	-	10801002	16101002	gpos	-	-	-	-
17	p	11.2	-	-	16101002	22701002	gneg	-	-	-	-
17	p	11.1	-	-	22701002	25101002	acen	-	-	-	-
17	q	11.1	-	-	25101002	27401002	acen	-	-	-	-
17	q	11.2	-	-	27401002	33501002	gneg	-	-	-	-
17	q	12	-	-	33501002	39801002	gpos	-	-	-	-
17	q	21.1	-	-	39801002	40201002	gneg	-	-	-	-
17	q	21.2	-	-	40201002	42801002	gpos	-	-	-	-
17	q	21.31	-	-	42801002	46801002	gneg	-	-	-	-
17	q	21.32	-	-	46801002	49301002	gpos	-	-	-	-
17	q	21.33	-	-	49301002	52101002	gneg	-	-	-	-
17	q	22	-	-	52101002	59501002	gpos	-	-	-	-
17	q	23.1	-	-	59501002	60201002	gneg	-	-	-	-
17	q	23.2	-	-	60201002	63101002	gpos	-	-	-	-
17	q	23.3	-	-	63101002	64601002	gneg	-	-	-	-
17	q	24.1	-	-	64601002	66201002	gpos	-	-	-	-
17	q	24.2	-	-	66201002	69101002	gneg	-	-	-	-
17	q	24.3	-	-	69101002	72901002	gpos	-	-	-	-
17	q	25.1	-	-	72901002	76801002	gneg	-	-	-	-
17	q	25.2	-	-	76801002	77201002	gpos	-	-	-	-
17	q	25.3	-	-	77201002	83258443	gneg	-	-	-	-
18	p	11.32	-	-	1002	2901002	gneg	-	-	-	-
18	p	11.31	-	-	2901002	7201002	gpos	-	-	-	-
18	p	11.23	-	-	7201002	8501002	gneg	-	-	-	-
18	p	11.22	-	-	8501002	10901002	gpos	-	-	-	-
18	p	11.21	-	-	10901002	15401002	gneg	-	-	-	-
18	p	11.1	-	-	15401002	18501002	acen	-	-	-	-
18	q	11.1	-	-	18501002	21501002	acen	-	-	-	-
18	q	11.2	-	-	21501002	27501002	gneg	-	-	-	-
18	q	12.1	-	-	27501002	35101002	gpos	-	-	-	-
18	q	12.2	-	-	35101002	39501002	gneg	-	-	-	-
18	q	12.3	-	-	39501002	45901002	gpos	-	-	-	-
18	q	21.1	-	-	45901002	50701002	gneg	-	-	-	-
18	q	21.2	-	-	50701002	56201002	gpos	-	-	-	-
18	q	21.31	-	-	56201002	58601002	gneg	-	-	-	-
18	q	21.32	-	-	58601002	61301002	gpos	-	-	-	-
18	q	21.33	-	-	61301002	63901002	gneg	-	-	-	-
18	q	22.1	-	-	63901002	69101002	gpos	-	-	-	-
18	q	22.2	-	-	69101002	71001002	gneg	-	-	-	-
18	q	22.3	-	-	71001002	75401002	gpos	-	-	-	-
18	q	23	-	-	75401002	80374287	gneg	-	-	-	-
19	p	13.3	-	-	1002	6901002	gneg	-	-	-	-
19	p	13.2	-	-	6901002	12601002	gpos	-	-	-	-
19	p	13.13	-	-	12601002	13801002	gneg	-	-	-	-
19	p	13.12	-	-	13801002	16101002	gpos	-	-	-	-
19	p	13.11	-	-	16101002	19901002	gneg	-	-	-	-
19	p	12	-	-	19901002	24201002	gvar	-	-	-	-
19	p	11	-	-	24201002	26201002	acen	-	-	-	-
19	q	11	-	-	26201002	28101002	acen	-	-	-	-
19	q	12	-	-	28101002	31901002	gvar	-	-	-	-
19	q	13.11	-	-	31901002	35101002	gneg	-	-	-	-
19	q	13.12	-	-	35101002	37801002	gpos	-	-	-	-
19	q	13.13	-	-	37801002	38201002	gneg	-	-	-	-
19	q	13.2	-	-	38201002	42901002	gpos	-	-	-	-
19	q	13.31	-	-	42901002	44701002	gneg	-	-	-	-
19	q	13.32	-	-	44701002	47501002	gpos	-	-	-	-
19	q	13.33	-	-	47501002	50901002	gneg	-	-	-	-
19	q	13.41	-	-	50901002	53101002	gpos	-	-	-	-
19	q	13.42	-	-	53101002	55801002	gneg	-	-	-	-
19	q	13.43	-	-	55801002	58618618	gpos	-	-	-	-
20	p	13	-	-	1002	5101002	gneg	-	-	-	-
20	p	12.3	-	-	5101002	9201002	gpos	-	-	-	-
20	p	12.2	-	-	9201002	12001002	gneg	-	-	-	-
20	p	12.1	-	-	12001002	17901002	gpos	-	-	-	-
20	p	11.23	-	-	17901002	21301002	gneg	-	-	-	-
20	p	11.22	-	-	21301002	22301002	gpos	-	-	-	-
20	p	11.21	-	-	22301002	25701002	gneg	-	-	-	-
20	p	11.1	-	-	25701002	28101002	acen	-	-	-	-
20	q	11.1	-	-	28101002	30401002	acen	-	-	-	-
20	q	11.21	-	-	30401002	33501002	gneg	-	-	-	-
20	q	11.22	-	-	33501002	35801002	gpos	-	-	-	-
20	q	11.23	-	-	35801002	39001002	gneg	-	-	-	-
20	q	12	-	-	39001002	43101002	gpos	-	-	-	-
20	q	13.11	-	-	43101002	43501002	gneg	-	-	-	-
20	q	13.12	-	-	43501002	47801002	gpos	-	-	-	-
20	q	13.13	-	-	47801002	51201002	gneg	-	-	-	-
20	q	13.2	-	-	51201002	56401002	gpos	-	-	-	-
20	q	13.31	-	-	56401002	57801002	gneg	-	-	-	-
20	q	13.32	-	-	57801002	59701002	gpos	-	-	-	-
20	q	13.33	-	-	59701002	64445169	gneg	-	-	-	-
21	p	13	-	-	1002	3101002	gvar	-	-	-	-
21	p	12	-	-	3101002	7001002	stalk	-	-	-	-
21	p	11.2	-	-	7001002	10901002	gvar	-	-	-	-
21	p	11.1	-	-	10901002	12001002	acen	-	-	-	-
21	q	11.1	-	-	12001002	13001002	acen	-	-	-	-
21	q	11.2	-	-	13001002	15001002	gneg	-	-	-	-
21	q	21.1	-	-	15001002	22601002	gpos	-	-	-	-
21	q	21.2	-	-	22601002	25501002	gneg	-	-	-	-
21	q	21.3	-	-	25501002	30201002	gpos	-	-	-	-
21	q	22.11	-	-	30201002	34401002	gneg	-	-	-	-
21	q	22.12	-	-	34401002	36401002	gpos	-	-	-	-
21	q	22.13	-	-	36401002	38301002	gneg	-	-	-	-
21	q	22.2	-	-	38301002	41201002	gpos	-	-	-	-
21	q	22.3	-	-	41201002	46710985	gneg	-	-	-	-
22	p	13	-	-	1002	4301002	gvar	-	-	-	-
22	p	12	-	-	4301002	9401002	stalk	-	-	-	-
22	p	11.2	-	-	9401002	13701002	gvar	-	-	-	-
22	p	11.1	-	-	13701002	15001002	acen	-	-	-	-
22	q	11.1	-	-	15001002	17401002	acen	-	-	-	-
22	q	11.21	-	-	17401002	21701002	gneg	-	-	-	-
22	q	11.22	-	-	21701002	23101002	gpos	-	-	-	-
22	q	11.23	-	-	23101002	25501002	gneg	-	-	-	-
22	q	12.1	-	-	25501002	29201002	gpos	-	-	-	-
22	q	12.2	-	-	29201002	31801002	gneg	-	-	-	-
22	q	12.3	-	-	31801002	37201002	gpos	-	-	-	-
22	q	13.1	-	-	37201002	40601002	gneg	-	-	-	-
22	q	13.2	-	-	40601002	43801002	gpos	-	-	-	-
22	q	13.31	-	-	43801002	48101002	gneg	-	-	-	-
22	q	13.32	-	-	48101002	49101002	gpos	-	-	-	-
22	q	13.33	-	-	49101002	50819470	gneg	-	-	-	-
